epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1133.58,1.35119,1.66599,1.59369,0.66597,0.14286,0.21275,0.10184,2.33068,3.89604,2.83818,0.0011684,0.0011684,0.0011684
44,1156.07,1.33449,1.75826,1.63201,0.31063,0.57143,0.31424,0.1017,2.53971,4.40517,3.20401,0.0011486,0.0011486,0.0011486
45,1177.57,1.26794,1.48669,1.60211,0.3259,0.42857,0.30809,0.09401,2.53427,5.09651,3.39235,0.0011288,0.0011288,0.0011288
46,1200.22,1.35887,1.56858,1.61579,0.24134,0.42857,0.21101,0.07595,2.61571,4.84259,3.7006,0.001109,0.001109,0.001109
47,1221.89,1.40641,1.73207,1.61156,0.30756,0.57143,0.23687,0.05599,2.78376,4.12694,3.86084,0.0010892,0.0010892,0.0010892
48,1243.43,1.32065,1.63379,1.58139,0.38637,0.57143,0.2773,0.07941,2.80121,4.14955,3.83052,0.0010694,0.0010694,0.0010694
49,1265.1,1.38657,1.55214,1.63934,0.65569,0.57143,0.41154,0.13191,2.6115,4.41695,3.90114,0.0010496,0.0010496,0.0010496
50,1287.23,1.4521,1.6546,1.71424,0.55973,0.57143,0.37343,0.14855,2.50948,3.11119,3.46467,0.0010298,0.0010298,0.0010298
51,1308.94,1.20007,1.53727,1.51841,0.70874,0.42857,0.55903,0.18388,2.3165,2.44755,3.19589,0.00101,0.00101,0.00101
52,1330.72,1.2611,1.42878,1.56992,0.62742,0.42857,0.45234,0.17308,2.13143,2.61694,3.02987,0.0009902,0.0009902,0.0009902
53,1352.34,1.2604,1.52183,1.52904,0.89342,0.28571,0.40209,0.17287,2.20408,2.59828,2.93867,0.0009704,0.0009704,0.0009704
54,1374.34,1.1848,1.37696,1.50622,0.48193,0.42857,0.33806,0.14976,2.27652,2.50217,2.83667,0.0009506,0.0009506,0.0009506
55,1395.65,1.18136,1.31786,1.5308,0.27755,0.71429,0.26132,0.10157,2.339,2.62741,3.00185,0.0009308,0.0009308,0.0009308
56,1417.14,1.10219,1.29272,1.46395,0.46702,0.57143,0.45987,0.16093,2.28591,2.39101,2.92425,0.000911,0.000911,0.000911
57,1439.3,1.19178,1.33871,1.47133,0.39532,0.71429,0.41097,0.15729,2.19269,2.37458,2.86715,0.0008912,0.0008912,0.0008912
58,1461.48,1.11489,1.3294,1.52694,0.48229,0.85714,0.6116,0.22997,2.15569,2.27081,2.74206,0.0008714,0.0008714,0.0008714
59,1484.55,1.22085,1.39113,1.5618,0.53664,0.71429,0.56923,0.26729,1.88237,2.5654,2.67848,0.0008516,0.0008516,0.0008516
60,1506.64,1.1205,1.27256,1.43775,0.47526,0.57143,0.51518,0.23318,1.85313,2.82184,2.65558,0.0008318,0.0008318,0.0008318
61,1530.14,1.10685,1.23198,1.42705,0.95682,0.42857,0.48933,0.20415,1.97134,2.89472,2.6735,0.000812,0.000812,0.000812
62,1552.94,1.19256,1.37334,1.51556,0.71311,0.42857,0.43934,0.20122,2.06052,2.58653,2.85973,0.0007922,0.0007922,0.0007922
63,1575.94,1.09616,1.215,1.38053,0.89204,0.28571,0.41654,0.20326,2.12531,2.38226,2.80145,0.0007724,0.0007724,0.0007724
64,1599.7,1.10615,1.2591,1.49937,0.37395,0.57143,0.47641,0.20994,2.09749,2.38393,2.77988,0.0007526,0.0007526,0.0007526
65,1624.15,1.08275,1.27365,1.38548,0.49237,0.41766,0.52187,0.23017,2.03341,2.5056,2.63145,0.0007328,0.0007328,0.0007328
66,1648.38,1.12876,1.20407,1.40565,0.39258,0.57143,0.44745,0.19988,2.13711,2.75275,2.60889,0.000713,0.000713,0.000713
67,1674.11,1.12578,1.30076,1.39277,0.40916,0.42857,0.42312,0.19426,2.04722,2.76052,2.57877,0.0006932,0.0006932,0.0006932
68,1697.44,1.05526,1.23634,1.39568,0.42718,0.42649,0.42842,0.16959,2.10758,2.71278,2.72773,0.0006734,0.0006734,0.0006734
69,1720.13,0.92754,1.28391,1.32766,0.73637,0.42857,0.43176,0.1238,2.18398,2.61283,2.80887,0.0006536,0.0006536,0.0006536
70,1743.03,1.02062,1.14593,1.3059,0.40492,0.42857,0.37537,0.12503,2.31374,2.50004,2.92811,0.0006338,0.0006338,0.0006338
71,1765.8,1.08671,1.21814,1.43431,0.93833,0.28571,0.44184,0.15234,2.25993,2.37878,2.91767,0.000614,0.000614,0.000614
72,1787.57,0.95085,1.11202,1.29509,0.89803,0.28571,0.46161,0.17838,2.26503,2.21038,2.96875,0.0005942,0.0005942,0.0005942
73,1809.23,0.89404,1.10046,1.28343,0.92284,0.28571,0.48543,0.19978,2.32074,2.16085,3.00806,0.0005744,0.0005744,0.0005744
74,1831.49,0.91479,1.04082,1.21258,0.58779,0.42857,0.47763,0.20604,2.3491,2.22556,3.05832,0.0005546,0.0005546,0.0005546
75,1853.13,0.99643,1.10206,1.3692,0.47012,0.42857,0.45124,0.17465,2.31048,2.14142,3.1149,0.0005348,0.0005348,0.0005348
76,1875.55,0.9402,1.2729,1.27855,0.74239,0.41552,0.52921,0.21061,2.27769,2.0754,3.04912,0.000515,0.000515,0.000515
77,1897.91,0.98186,1.02972,1.35351,0.49193,0.69355,0.57201,0.18614,2.32594,2.09394,3.11074,0.0004952,0.0004952,0.0004952
78,1921.52,0.91763,0.98599,1.2857,0.56946,0.5675,0.57785,0.19206,2.34475,2.12932,3.10867,0.0004754,0.0004754,0.0004754
79,1946.63,0.96544,1.05907,1.31138,0.61674,0.69226,0.54469,0.16202,2.406,2.16418,3.17896,0.0004556,0.0004556,0.0004556
80,1969.3,0.94266,1.04957,1.3057,0.52066,0.71429,0.56426,0.17357,2.4253,2.17032,3.08299,0.0004358,0.0004358,0.0004358
81,1991.35,0.83758,0.99565,1.26474,0.6185,0.69696,0.61996,0.1812,2.44773,2.20465,3.11328,0.000416,0.000416,0.000416
82,2013.02,0.8372,0.95537,1.20805,0.54546,0.68833,0.53936,0.15335,2.41631,2.22286,3.11855,0.0003962,0.0003962,0.0003962
83,2035.19,0.84631,1.01512,1.27079,0.56911,0.5668,0.54173,0.16173,2.43284,2.24133,3.09796,0.0003764,0.0003764,0.0003764
84,2059.44,0.84182,0.9953,1.21981,0.72768,0.42857,0.52506,0.15453,2.39432,2.28297,3.12605,0.0003566,0.0003566,0.0003566
85,2082.31,0.78051,0.90153,1.17726,0.73006,0.42857,0.54067,0.17234,2.48335,2.2541,3.18484,0.0003368,0.0003368,0.0003368
86,2106.9,0.80839,0.90586,1.18365,0.73206,0.42857,0.55893,0.1819,2.51781,2.22631,3.22299,0.000317,0.000317,0.000317
87,2129.94,0.86039,0.9837,1.24794,0.72948,0.42857,0.49766,0.134,2.48956,2.26419,3.23608,0.0002972,0.0002972,0.0002972
88,2154.03,0.8907,1.06191,1.40166,0.72847,0.42857,0.50869,0.12935,2.43043,2.26914,3.19262,0.0002774,0.0002774,0.0002774
89,2177.55,0.68623,0.82287,1.1159,0.72953,0.42857,0.45241,0.14256,2.43446,2.27595,3.12852,0.0002576,0.0002576,0.0002576
90,2201.03,0.76293,0.89837,1.259,0.73199,0.42857,0.4446,0.14379,2.4292,2.25992,3.08433,0.0002378,0.0002378,0.0002378
91,2230.6,0.87065,1.22408,1.4053,0.72909,0.42857,0.52738,0.16681,2.38164,2.17286,3.01928,0.000218,0.000218,0.000218
92,2252.91,0.70782,1.01904,1.21452,0.72937,0.42857,0.50058,0.1909,2.27259,2.05725,2.96009,0.0001982,0.0001982,0.0001982
93,2275.89,0.6829,1.01044,1.1287,0.66502,0.56791,0.61073,0.24755,2.22153,1.97647,2.9241,0.0001784,0.0001784,0.0001784
94,2299.81,0.65914,0.98042,1.21458,0.79753,0.56437,0.65749,0.27477,2.24453,2.01168,2.93878,0.0001586,0.0001586,0.0001586
95,2327.72,0.6343,0.88891,1.18777,0.78618,0.57143,0.68349,0.26807,2.23459,2.0672,2.92164,0.0001388,0.0001388,0.0001388
96,2354.71,0.62907,0.82892,1.11502,0.43268,0.76528,0.59283,0.25079,2.31411,2.0556,2.96865,0.000119,0.000119,0.000119
97,2442.92,0.58129,0.80565,1.08959,0.78236,0.57143,0.69542,0.25842,2.26982,2.06974,2.9578,9.92e-05,9.92e-05,9.92e-05
98,2465.44,0.6474,0.85504,1.1151,0.78378,0.57143,0.70139,0.27666,2.30459,2.03442,3.02637,7.94e-05,7.94e-05,7.94e-05
99,2490.16,0.61912,0.78264,1.10849,0.78372,0.57143,0.72102,0.25128,2.30393,2.04901,3.00301,5.96e-05,5.96e-05,5.96e-05
100,2512.41,0.69346,0.77511,1.16134,0.78591,0.57143,0.72045,0.25833,2.28736,2.03516,3.00456,3.98e-05,3.98e-05,3.98e-05
